# t(s)   rho_eff(J)   power(W)   rho_I(J)   rho_N(J)
8.255711356e-06  3.762732e+07  -1.606062e+13  3.762732e+07  0.000000e+00
8.286982990e-06  3.636699e+07  -4.104750e+13  3.636699e+07  0.000000e+00
8.318254624e-06  3.506008e+07  -1.646913e+13  3.506008e+07  0.000000e+00
8.349526258e-06  3.533696e+07  2.951327e+13  3.533696e+07  0.000000e+00
8.380797892e-06  3.690593e+07  3.987947e+13  3.690593e+07  0.000000e+00
8.412069526e-06  3.783115e+07  -9.898984e+10  3.783115e+07  0.000000e+00
8.443341160e-06  3.689974e+07  -4.289218e+13  3.689974e+07  0.000000e+00
8.474612794e-06  3.514853e+07  -3.632655e+13  3.514853e+07  0.000000e+00
8.505884428e-06  3.462776e+07  1.231227e+13  3.462776e+07  0.000000e+00
8.537156061e-06  3.591858e+07  4.541515e+13  3.591858e+07  0.000000e+00
8.568427695e-06  3.746817e+07  2.572441e+13  3.746817e+07  0.000000e+00
8.599699329e-06  3.752747e+07  -1.936585e+13  3.752747e+07  0.000000e+00
8.630970963e-06  3.625697e+07  -3.355657e+13  3.625697e+07  0.000000e+00
8.662242597e-06  3.542873e+07  -1.078358e+12  3.542873e+07  0.000000e+00
8.693514231e-06  3.618953e+07  3.632251e+13  3.618953e+07  0.000000e+00
8.724785865e-06  3.770046e+07  3.304874e+13  3.770046e+07  0.000000e+00
8.756057499e-06  3.825650e+07  -5.231025e+12  3.825650e+07  0.000000e+00
8.787329133e-06  3.737330e+07  -3.211183e+13  3.737330e+07  0.000000e+00
8.818600767e-06  3.624812e+07  -1.928241e+13  3.624812e+07  0.000000e+00
8.849872401e-06  3.616731e+07  1.148411e+13  3.616731e+07  0.000000e+00
8.881144035e-06  3.696638e+07  1.975567e+13  3.696638e+07  0.000000e+00
8.912415669e-06  3.740289e+07  -2.766906e+12  3.740289e+07  0.000000e+00
8.943687303e-06  3.679333e+07  -2.592138e+13  3.679333e+07  0.000000e+00
8.974958936e-06  3.578169e+07  -2.227995e+13  3.578169e+07  0.000000e+00
9.006230570e-06  3.539986e+07  3.189584e+10  3.539986e+07  0.000000e+00
9.037502204e-06  3.578368e+07  1.246938e+13  3.578368e+07  0.000000e+00
9.068773838e-06  3.617974e+07  4.442563e+12  3.617974e+07  0.000000e+00
9.100045472e-06  3.606153e+07  -6.377107e+12  3.606153e+07  0.000000e+00
9.131317106e-06  3.578089e+07  -1.641566e+12  3.578089e+07  0.000000e+00
9.162588740e-06  3.595887e+07  1.251246e+13  3.595887e+07  0.000000e+00
9.193860374e-06  3.656346e+07  1.605712e+13  3.656346e+07  0.000000e+00
9.225132008e-06  3.696313e+07  4.302120e+12  3.696313e+07  0.000000e+00
9.256403642e-06  3.683253e+07  -5.515664e+12  3.683253e+07  0.000000e+00
9.287675276e-06  3.661816e+07  1.233062e+12  3.661816e+07  0.000000e+00
9.318946910e-06  3.690965e+07  1.540213e+13  3.690965e+07  0.000000e+00
9.350218544e-06  3.758146e+07  1.567400e+13  3.758146e+07  0.000000e+00
9.381490177e-06  3.788996e+07  -2.556752e+12  3.788996e+07  0.000000e+00
9.412761811e-06  3.742155e+07  -1.995201e+13  3.742155e+07  0.000000e+00
9.444033445e-06  3.664209e+07  -1.758111e+13  3.664209e+07  0.000000e+00
9.475305079e-06  3.632197e+07  -8.843607e+11  3.632197e+07  0.000000e+00
9.506576713e-06  3.658678e+07  7.862476e+12  3.658678e+07  0.000000e+00
9.537848347e-06  3.681372e+07  -1.812771e+12  3.681372e+07  0.000000e+00
9.569119981e-06  3.647341e+07  -1.608867e+13  3.647341e+07  0.000000e+00
9.600391615e-06  3.580748e+07  -1.562794e+13  3.580748e+07  0.000000e+00
9.631663249e-06  3.549598e+07  -1.793248e+11  3.549598e+07  0.000000e+00
9.662934883e-06  3.579627e+07  1.239099e+13  3.579627e+07  0.000000e+00
9.694206517e-06  3.627096e+07  9.591311e+12  3.627096e+07  0.000000e+00
9.725478151e-06  3.639614e+07  -1.039278e+12  3.639614e+07  0.000000e+00
9.756749785e-06  3.620596e+07  -3.797868e+12  3.620596e+07  0.000000e+00
9.788021418e-06  3.615861e+07  4.307062e+12  3.615861e+07  0.000000e+00
9.819293052e-06  3.647533e+07  1.114442e+13  3.647533e+07  0.000000e+00
9.850564686e-06  3.685562e+07  6.831685e+12  3.685562e+07  0.000000e+00
9.881836320e-06  3.690261e+07  -3.419673e+12  3.690261e+07  0.000000e+00
9.913107954e-06  3.664174e+07  -7.223140e+12  3.664174e+07  0.000000e+00
9.944379588e-06  3.645085e+07  -1.457490e+12  3.645085e+07  0.000000e+00
9.975651222e-06  3.655058e+07  4.965143e+12  3.655058e+07  0.000000e+00
1.000692286e-05  3.676139e+07  4.106627e+12  3.676139e+07  0.000000e+00
1.003819449e-05  3.680742e+07  -1.111027e+12  3.680742e+07  0.000000e+00
1.006946612e-05  3.669190e+07  -2.860730e+12  3.669190e+07  0.000000e+00
1.010073776e-05  3.662850e+07  -1.316803e+11  3.662850e+07  0.000000e+00
1.013200939e-05  3.668366e+07  8.568458e+11  3.668366e+07  0.000000e+00
1.016328103e-05  3.668209e+07  -2.838589e+12  3.668209e+07  0.000000e+00
1.019455266e-05  3.650613e+07  -5.834626e+12  3.650613e+07  0.000000e+00
1.022582429e-05  3.631718e+07  -2.742662e+12  3.631718e+07  0.000000e+00
1.025709593e-05  3.633459e+07  2.603015e+12  3.633459e+07  0.000000e+00
1.028836756e-05  3.647998e+07  1.788804e+12  3.647998e+07  0.000000e+00
1.031963920e-05  3.644647e+07  -5.035056e+12  3.644647e+07  0.000000e+00
1.035091083e-05  3.616507e+07  -6.936700e+12  3.616507e+07  0.000000e+00
